condition,question,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11,participant_12,participant_13,participant_14,participant_15,participant_16,participant_17,participant_18,participant_19,participant_20,participant_21,participant_22,participant_23,participant_24,participant_25,participant_26,participant_27,participant_28,participant_29,participant_30,participant_31,participant_32,participant_33,participant_34,participant_35,participant_36,participant_37,participant_38,participant_39,participant_40,participant_41,participant_42,participant_43,participant_44,participant_45,participant_46,participant_47,participant_48,participant_49,participant_50,participant_51,participant_52,participant_53,participant_54,participant_55,participant_56,participant_57,participant_58,participant_59,participant_60,participant_61,participant_62,participant_63,participant_64,participant_65,participant_66,participant_67,participant_68,participant_69,participant_70,participant_71,participant_72,participant_73,participant_74,participant_75,participant_76,participant_77,participant_78,participant_79,participant_80,participant_81,participant_82,participant_83,participant_84,participant_85,participant_86,participant_87,participant_88,participant_89,participant_90,participant_91,participant_92,participant_93,participant_94,participant_95,participant_96,participant_97,participant_98,participant_99,participant_100,participant_101,participant_102,participant_103,participant_104,participant_105,participant_106,participant_107,participant_108,participant_109,participant_110,participant_111,participant_112,participant_113,participant_114,participant_115,participant_116,participant_117,participant_118,participant_119,participant_120,participant_121,participant_122,participant_123,participant_124,participant_125,participant_126,participant_127,participant_128,participant_129,participant_130,participant_131,participant_132,participant_133,participant_134,participant_135,participant_136,participant_137,participant_138,participant_139,participant_140,participant_141,participant_142,participant_143,participant_144,participant_145,participant_146,participant_147,participant_148,participant_149,participant_150,participant_151,participant_152,participant_153,participant_154,participant_155,participant_156,participant_157,participant_158,participant_159,participant_160,participant_161,participant_162,participant_163,participant_164,participant_165,participant_166,participant_167,participant_168,participant_169,participant_170,participant_171,participant_172,participant_173
F,Die Suppe wurde gegen versalzen.,,,,1,,1,,,,,1,,1,,,,,,,,1,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2,1,1,,1,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,5,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,
F,Der Patient hat den geldgierigen und unprofessionellen Zahnarzt überlistet.,,,,6,,6,,,,,7,,6,,,,,,,,7,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,7,,,,,,,,6,,,,,,,,,,,,,,6,7,7,,7,,,,,,,,,,,,,,,,,7,,,,,6,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,5,,2,,,,,,,,,,7,,,,,,,,,,,,7,7,,,,,
F,Du hast dem Postboten sich selbst in der traurigen und verlassenen Gegend empfohlen.,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
F,"Wir lesen am liebsten die Süddeutsche, obwohl wir leben jetzt in Düsseldorf.",,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
F,Da gerechnet mit hat der Franz natürlich nicht.,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
F,Die Luft wurde hinter geatmet.,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
F,Der Stürmer hat den Torwart vorsätzlich und unsportlich gefoult.,,,,,,,,,,,,,,6,,,,,,7,,,,,,,,,,,,,,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,6,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
F,"Sie hofft, das Finanzamt hat den frechen und kriminellen Betrüger überlistet.",,,,,,,,,,,,,,4,,,,,,6,,,,,,,,,,,,,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
F,Die Mutter hat dem Sohn es verboten.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,3,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6
F,"Der Chemiker meint er, dass den Pharmakonzern belogen hat.",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,4,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
F,Die Sitzung wurde aus vertagt.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1
F,Auf dem Markt verkaufen viele Bauern Obst und Gemüse.,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7
F,Was hat der Verkäufer welchem Kunden geraten?,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,5,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,7
F,"In der Elbe glaubt sie, hat der Fischer das kleine und flinke Boot versenkt.",,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,6
F,Bei der Schülerversammlung die Klassen wählen nacheinander und ordnungsgemäß die Schulsprecher.,,,,,,,,,,,,,,,,3,1,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,6,,,,,6,,,1,,1,,,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,7,,,,,,,,1,,,,,,2,2,,,,,,,
F,Der alte und geschützte Wald wurde vor gerodet.,,,,,,,,,,,,,,,,2,2,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,6,,,,,1,,,2,,1,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,1,,,,,,2,1,,,,,,,
F,Die Mutter hat ihren kleinen Sohn zum Kindergarten gebracht.,,,,,,,,,,,,,,,,6,7,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,7,,,,7,,,,,7,,,6,,7,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,,,4,,,,,,,4,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,,,,,,,,7,,,,,,7,7,,,,,,,
F,Die Nachbarin hat der Frau den neuen und großen Blumenladen empfohlen.,,,,,,,,,,,,,,,,5,7,,,,,,,,,,7,,,,,,5,,,,,,,,,,,,,,,,,,,7,,,,7,,,,,7,,,4,,7,,,7,,,,,,,,,6,,,,,,,,,,,,,,,,,,4,,,,,,,3,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,6,,,,,,,,6,,,,,,7,7,,,,,,,
F,Ich habe dem Kunden sich selbst im Spiegel präsentiert.,,,,,,,,,,,,,,,,4,7,,,,,,,,,,6,,,,,,5,,,,,,,,,,,,,,,,,,,3,,,,7,,,,,2,,,1,,1,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,,,,3,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,6,,,,,,6,5,,,,,,,
F,Die Marathonläufer haben einander ihn als fähigen Trainer vorgeschlagen.,,,,,,,,,,,,,,,,3,1,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,7,,,,,5,,,3,,1,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,5,,,,,,6,6,,,,,,,
F,Das Haus wurde unter gestrichen.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Die Familie hat eine teure Reise voreilig gebucht.,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,6,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,6,,,,,,,7,,,,,,,,,,,,,,,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
F,"Er glaubt, die Mannschaft hat den Schiedsrichter bestochen.",,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,,,7,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,,,,,,,7,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
F,"Auf der Fähre glaubt er, hat der Urlauber den Kontrolleur belogen.",,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
F,"Die Familie isst gerne griechisch und türkisch, obwohl sie lebt jetzt in Italien.",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Da gestimmt für hat der Wähler aber nicht.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Auf allen Konzerten spielt die Band fehlerfrei.,,,7,,,,5,,,,,,,,6,,,,,,,,,,,,,,,,,,,7,,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,,,,,,,,,,,,,,,,
F,Wo hat die Feuerwehr welches Haus gelöscht?,,,7,,,,6,,,,,,,,7,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,7,,,,,,,,,,,,,,,,
F,Du hast der Frau sich selbst als Beraterin vorgeschlagen.,,,3,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,6,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,
F,Der Lehrer hat den Schülern es nachgetragen.,,,3,,,,5,,,,,,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,
F,"Die Firma sagt er, dass die Bestellung vergessen oder verloren hat.",,,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,
F,Die Gruppe wurde hinter beschuldigt.,,,1,,,,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,
F,Der Teppichhändler hat dem Prinzen den großen und schönen Teppich verkauft.,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,6,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,7,,,,,,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,"Auf dem Heimweg denkt sie, hat das Kind den Schlüssel verloren.",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Die Fotografen haben einander es als schönstes und bestes Foto bestätigt.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Bei dem Regen die Familie macht bestimmt kein Picknick.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Die Blume wurde gegen gegossen.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Der Mann schenkt seiner Verlobten eine rote Rose.,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,6,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,7,,,,,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,7,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Ich habe der Prinzessin sich selbst auf den Gemälden präsentiert.,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,3,2,,,,5,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,3,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,6,,,,
F,"Sie schreibt gerne Briefe, obwohl sie hat jetzt einen Computer.",2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,4,3,,,,5,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,7,,,,
F,Da entschieden gegen hat der Politiker sicherlich nicht.,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,3,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,2,,,,
F,Das Dach wurde für gereinigt.,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,3,,,,
F,Die Autorin hat dem frechen und nervigen Journalisten kurzfristig abgesagt.,7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,6,,,,5,7,,,,6,,,,7,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,7,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,7,,,,1,,,,,,,,,6,,,,
F,"Sie denkt, der Koch hat die Suppe versalzen.",7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,7,,,,3,7,,,,5,,,,7,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,2,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,6,,,,5,,,,,,,,,5,,,,
F,"Der Zuschauer denkt er, dass die Sendung angeguckt hat.",,,,,6,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,7,,,,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
