condition,ex2_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex2_allomorph,item,first,second
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_134,5.0,September,4.15625,0.84375,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_146,2.0,Mai,3.4375,-1.4375,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_151,2.0,Mai,4.3125,-2.3125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_156,1.0,September,2.03125,-1.03125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_159,2.0,Mai,2.0,0.0,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_160,3.0,September,2.9375,0.0625,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_165,1.0,Mai,4.03125,-3.03125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_166,1.0,Mai,2.78125,-1.78125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_169,1.0,September,3.59375,-2.59375,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_1,5.0,September,2.866666667,2.133333333,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_16,1.0,Mai,2.78125,-1.78125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_17,1.0,Mai,2.9375,-1.9375,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_26,3.0,September,2.90625,0.09375,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_27,7.0,Mai,3.96875,3.03125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_31,1.0,September,3.5,-2.5,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_33,2.0,Mai,3.46875,-1.46875,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_35,5.0,September,4.03125,0.96875,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_36,5.0,September,3.53125,1.46875,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_40,3.0,September,4.03125,-1.03125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_44,1.0,September,3.40625,-2.40625,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_47,1.0,September,1.8125,-0.8125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_52,1.0,Mai,4.28125,-3.28125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_56,2.0,Mai,4.90625,-2.90625,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_61,5.0,Mai,4.451612903,0.548387097,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_64,1.0,Mai,3.25,-2.25,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_66,1.0,Mai,2.875,-1.875,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_69,2.0,Mai,2.59375,-0.59375,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_78,2.0,Mai,2.28125,-0.28125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_93,1.0,September,1.935483871,-0.935483871,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_96,4.0,Mai,2.53125,1.46875,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_103,1.0,Mai,1.34375,-0.34375,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_104,1.0,Mai,3.125,-2.125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_107,4.0,Mai,2.25,1.75,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_114,4.0,September,2.1875,1.8125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_115,1.0,September,1.75,-0.75,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_121,3.0,September,3.516129032,-0.5161290319999998,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_125,1.0,September,3.3125,-2.3125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_134,4.0,September,4.15625,-0.15625,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_146,2.0,Mai,3.4375,-1.4375,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_151,7.0,Mai,4.3125,2.6875,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_156,3.0,September,2.03125,0.96875,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_159,1.0,Mai,2.0,-1.0,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_160,6.0,September,2.9375,3.0625,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_165,1.0,Mai,4.03125,-3.03125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_166,2.0,Mai,2.78125,-0.78125,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3'.2,keit first,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_169,4.0,September,3.59375,0.40625,simple,mismatch,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_2,2.0,Juni,2.633333333,-0.6333333329999999,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_4,5.0,Februar,3.65625,1.34375,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_6,5.0,Februar,3.03125,1.96875,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_11,5.0,Februar,4.71875,0.28125,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_13,2.0,Februar,2.35483871,-0.3548387100000001,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_21,5.0,Februar,3.8125,1.1875,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_22,3.0,Februar,2.71875,0.28125,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_30,2.0,Februar,3.0625,-1.0625,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_50,3.0,Juni,3.0625,-0.0625,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_54,2.0,Juni,2.8125,-0.8125,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_57,4.0,Februar,3.59375,0.40625,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_60,2.0,Juni,2.71875,-0.71875,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_62,5.0,Februar,3.875,1.125,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_70,2.0,Februar,2.71875,-0.71875,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_74,4.0,Juni,3.3125,0.6875,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_84,4.0,Februar,3.96875,0.03125,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_85,5.0,Februar,4.0,1.0,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_86,6.0,Februar,4.0,2.0,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_88,2.0,Februar,2.09375,-0.09375,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_101,1.0,Juni,1.1875,-0.1875,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_105,5.0,Februar,3.75,1.25,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_110,1.0,Februar,1.78125,-0.78125,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_116,2.0,Juni,3.75,-1.75,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_123,5.0,Juni,3.84375,1.15625,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_132,2.0,Februar,1.9375,0.0625,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_133,5.0,Februar,4.15625,0.84375,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_138,2.0,Juni,2.34375,-0.34375,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_143,1.0,Februar,2.1875,-1.1875,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_145,4.0,Februar,4.15625,-0.15625,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_147,5.0,Juni,4.84375,0.15625,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_155,1.0,Februar,3.21875,-2.21875,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3.4,heit first,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_167,4.0,Februar,3.8125,0.1875,simple,mismatch,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
